male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,right2012,right2016
0,23,9,0,0,1,NA,0,0,0.5,0.5,0,NA
0,27,9,0,7,1,NA,1,0,0.75,1,0,NA
0,29,9,0,8,1,1,0,0,0,1,0,0
0,46,10,1,10,1,1,0,0,0.5,1,0,0
1,81,14,0,7,0,NA,0,0,1,0,1,NA
1,68,11,0,5,NA,NA,1,0,0.5,1,NA,NA
1,39,11,0,9,0,0,1,0,1,1,1,1
0,34,13,0,7,0,NA,0,1,0.75,1,1,NA
1,19,9,0,6,NA,NA,0,0,0.5,1,NA,NA
0,65,14,0,8,0,0,0,0,0.5,1,1,1
0,31,10,0,7,NA,NA,0,0,0.5,1,NA,NA
1,35,10,0,5,NA,NA,0,0,0.5,0.5,NA,NA
0,65,12,0,9,0,0,0,0,1,1,1,1
1,22,9,0,6,NA,NA,0,0,0.25,1,NA,NA
1,45,11,0,NA,0,NA,0,1,1,1,1,NA
0,57,11,0,5,1,1,0,1,1,0.5,0,0
1,43,13,0,5,1,1,0,0,0.5,0.5,0,0
0,26,13,0,1,1,1,0,0,0.25,1,0,0
0,47,10,0,5,1,0,0,0,0.75,1,0,1
1,62,13,0,5,1,NA,0,0,0.5,0.5,0,NA
1,36,13,0,3,1,1,0,0,0.5,0.5,0,0
0,74,10,0,7,1,NA,0,0,0.25,1,0,NA
0,54,3,0,10,NA,NA,0,0,0.5,1,NA,NA
1,45,13,0,6,0,NA,1,0,0.5,0.5,1,NA
0,57,9,0,10,0,0,0,0,0.5,0.5,1,1
1,30,9,1,10,NA,NA,0,0,1,0.5,NA,NA
0,38,13,0,5,1,1,0,0,0.25,0.5,0,0
1,60,13,0,9,0,0,0,0,1,0,1,1
0,23,10,0,0,1,1,0,0,0,0.5,0,0
0,22,7,0,NA,0,NA,1,0,0.5,1,1,NA
1,29,9,0,5,NA,NA,1,0,0.5,1,NA,NA
0,60,10,0,5,1,1,0,0,0.5,1,0,0
1,75,4,0,NA,0,0,0,0,1,1,1,1
1,66,9,0,5,NA,NA,0,0,0.25,1,NA,NA
1,64,13,0,2,1,1,0,0,0.5,1,0,0
0,32,12,0,10,NA,NA,0,0,0.5,1,NA,NA
0,44,10,0,9,1,0,0,0,1,0.5,0,1
