male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,right2012,right2016
0,54,11,0,5,0,NA,0,0,1,0.5,1,NA
1,70,8,0,5,NA,NA,0,0,1,NA,NA,NA
0,21,10,0,5,NA,NA,0,0,0.25,1,NA,NA
0,NA,10,0,9,NA,1,0,0,1,1,NA,0
0,24,9,0,5,0,NA,0,0,1,1,1,NA
0,90,13,0,9,0,0,0,0,0.75,0.5,1,1
0,38,12,0,7,NA,0,0,0,0.75,0.5,NA,1
0,43,9,0,8,NA,NA,0,0,1,0.5,NA,NA
1,20,9,0,3,NA,1,0,0,0,1,NA,0
1,24,13,0,5,1,1,0,0,0.25,1,0,0
0,80,13,0,4,1,1,0,0,1,1,0,0
1,64,13,1,8,1,0,0,0,0.5,1,0,1
0,68,13,0,8,0,NA,0,0,1,0.5,1,NA
