male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,CC16_301d,CC16_301i,CC16_331_1,CC16_331_2,CC16_331_3,CC16_331_4,CC16_331_5,CC16_331_6,CC16_331_7,CC16_331_8,right2012,right2016
0,26,4,0,6,1,1,1,0,0.625,1,3,1,2,2,2,1,1,2,2,2,0,0
0,69,3,0,5,0,0,1,1,0.875,0.5,2,2,2,1,2,1,1,2,1,2,1,1
1,29,6,0,2,1,1,1,1,0.125,0.75,2,2,1,2,1,2,2,2,2,2,0,0
0,29,2,0,4,NA,NA,1,0,0.375,0,3,2,1,2,1,2,1,2,2,1,NA,NA
1,28,5,0,7,0,NA,0,1,0.5,NA,2,3,1,1,2,1,2,1,1,2,1,NA
1,49,6,0,4,NA,1,1,0,0.375,0.75,3,1,1,2,2,1,2,2,2,2,NA,0
1,68,6,0,4,0,0,1,1,0.5,0.75,2,1,2,1,2,1,2,1,2,2,1,1
0,53,6,0,4,0,1,1,1,0.25,0.25,2,2,1,1,1,1,2,1,2,2,1,0
1,68,4,0,4,0,0,0,1,0.75,0,1,3,2,1,2,1,2,2,1,2,1,1
1,51,6,0,4,NA,NA,1,1,1,0,1,2,2,1,2,1,1,2,1,1,NA,NA
1,91,5,0,3,1,1,1,1,0,0.75,2,1,1,2,1,2,2,1,2,2,0,0
0,69,6,0,NA,1,1,1,1,0.25,0.75,1,2,1,2,1,1,2,2,2,2,0,0
1,59,5,0,3,1,1,1,1,0.375,0.5,2,2,1,1,1,1,2,2,2,2,0,0
0,52,2,0,5,NA,NA,1,1,0.25,0.25,1,2,1,1,1,1,2,1,2,2,NA,NA
0,63,6,0,1,1,1,1,0,0.125,0.75,3,2,1,2,1,2,2,2,2,2,0,0
1,58,5,0,4,NA,0,0,1,0.875,0,2,4,2,1,2,1,1,2,1,2,NA,1
1,54,6,1,2,1,1,1,0,0.25,0.5,3,1,1,1,1,1,2,1,2,2,0,0
0,24,3,0,1,1,1,1,1,0,0.5,2,2,1,2,1,2,2,1,2,2,0,0
1,37,3,0,3,NA,NA,1,0,0.125,NA,3,1,1,2,1,2,2,2,2,2,NA,NA
1,48,6,0,3,1,1,1,1,0.5,0.5,2,1,2,1,1,1,2,2,2,2,0,0
1,53,5,0,2,1,1,1,0,0.125,0.75,3,1,1,2,1,2,2,2,2,2,0,0
0,59,6,0,4,1,0,1,1,1,0,2,2,2,1,2,1,1,2,1,1,0,1
1,68,5,0,2,1,1,1,1,0,0.75,2,2,1,2,1,2,2,1,2,2,0,0
1,60,5,0,3,1,1,1,0,0.125,1,4,2,1,2,1,1,2,1,2,2,0,0
1,51,5,0,4,NA,1,1,0,0.375,0.25,3,2,2,2,2,2,2,2,2,2,NA,0
1,59,4,0,2,1,1,1,0,0.5,0.5,4,1,2,1,1,1,2,1,1,2,0,0
0,72,6,0,2,1,1,1,1,0.125,0.75,2,1,1,2,1,2,2,2,2,2,0,0
1,61,6,0,1,1,1,1,1,0.375,0.75,2,1,1,2,1,1,2,2,1,2,0,0
0,51,4,0,6,0,0,1,1,0.375,0.5,2,1,1,2,2,2,2,2,1,2,1,1
1,76,4,0,3,1,NA,1,0,0.375,NA,3,1,1,2,1,1,2,2,1,2,0,NA
0,75,5,0,3,1,1,1,1,0.125,0.5,2,1,1,1,1,2,2,1,2,2,0,0
1,46,6,0,5,0,0,0,0,0.25,0.25,3,3,1,2,2,1,2,1,2,2,1,1
1,26,4,0,3,1,1,1,1,0,0.75,2,2,1,2,1,2,2,1,2,2,0,0
1,70,3,0,1,1,1,1,0,0.375,0.5,3,2,1,1,1,1,2,2,2,2,0,0
1,83,2,0,6,0,0,1,1,1,0.5,1,1,2,1,2,1,1,2,1,1,1,1
0,26,6,0,3,1,1,1,0,0.125,0.5,3,2,1,2,1,1,2,1,2,2,0,0
0,69,3,0,5,0,0,1,1,0.5,0.25,2,1,1,1,1,1,1,2,2,2,1,1
0,83,4,0,6,0,0,1,1,1,0,1,1,2,1,2,1,1,2,1,1,1,1
0,67,6,0,1,1,1,1,1,0.125,0.5,2,1,1,2,1,1,2,1,2,2,0,0
0,50,6,0,3,1,NA,1,1,0.125,0.5,2,1,1,2,1,2,2,2,2,2,0,NA
1,39,5,0,1,NA,1,1,0,0.25,0.5,4,2,1,2,1,1,2,2,2,2,NA,0
1,59,5,0,3,1,NA,0,0,0.25,0.25,3,3,1,2,1,1,2,2,2,2,0,NA
1,56,5,1,4,0,NA,1,1,0.5,0.5,2,1,1,1,1,1,1,2,2,2,1,NA
1,62,5,0,2,1,1,1,1,0.25,0.75,2,1,1,2,1,1,2,2,2,2,0,0
1,64,3,0,2,1,NA,1,1,0.25,0.5,2,1,1,2,1,1,2,2,2,2,0,NA
0,48,5,1,4,NA,1,1,1,0.625,0.25,2,1,2,2,2,1,2,2,1,2,NA,0
1,47,6,0,4,NA,NA,1,1,0,NA,1,2,1,2,1,2,2,1,2,2,NA,NA
0,74,4,0,1,1,1,1,1,0.5,1,1,2,2,2,1,1,2,2,1,2,0,0
1,74,3,0,1,1,1,1,1,0.125,0.5,2,1,1,2,2,2,2,1,2,2,0,0
1,55,5,0,5,0,NA,1,1,0.75,0.25,1,1,1,1,2,1,1,2,1,2,1,NA
1,54,5,0,1,1,1,1,0,0.375,0.5,3,1,2,2,1,1,2,2,2,2,0,0
1,57,4,0,5,0,0,1,1,0.875,0.5,1,2,2,1,2,1,1,2,1,2,1,1
1,69,2,0,7,0,0,1,1,1,0.25,1,1,2,1,2,1,1,2,1,1,1,1
1,48,1,0,4,1,NA,1,0,0.75,NA,3,2,2,1,2,1,2,2,1,2,0,NA
1,55,3,0,6,0,0,1,1,0.75,0,2,1,2,1,2,1,2,2,1,2,1,1
1,56,6,0,4,1,1,1,0,0.25,0.5,4,2,1,2,1,1,2,2,2,2,0,0
1,64,5,0,6,0,0,1,1,0.625,0,1,1,1,2,2,1,1,2,2,1,1,1
1,55,4,0,6,0,0,1,1,1,0,1,1,2,1,2,1,1,2,1,1,1,1
1,63,4,0,4,1,1,0,1,0.375,0.5,2,3,1,1,2,1,2,1,2,2,0,0
0,37,6,0,2,1,1,1,1,0,0.75,1,1,1,2,1,2,2,1,2,2,0,0
0,57,3,0,6,0,1,1,0,0.25,0,3,2,1,2,1,1,2,2,2,2,1,0
0,47,4,1,4,1,0,1,1,0.875,1,1,1,2,1,2,1,1,1,1,1,0,1
1,47,6,0,4,1,1,0,0,0.25,0.75,4,3,1,2,1,1,2,2,2,2,0,0
1,63,5,0,2,1,NA,0,0,0.25,1,4,3,1,2,1,1,2,2,2,2,0,NA
0,53,5,0,1,1,1,1,0,0,1,4,2,1,2,1,2,2,1,2,2,0,0
1,47,6,0,2,1,1,1,1,0.125,0.75,2,2,1,1,1,2,2,1,2,2,0,0
1,54,5,0,6,0,0,1,1,0.625,0.25,2,2,2,1,2,2,1,2,2,2,1,1
0,63,4,0,2,1,1,1,1,0.125,0.5,1,2,1,2,1,1,2,1,2,2,0,0
0,60,5,0,4,1,1,1,1,0.125,0.5,2,1,1,2,1,2,2,2,2,2,0,0
1,63,5,0,6,0,0,1,1,0.625,0.25,1,2,2,1,2,1,2,1,1,2,1,1
